partID	trackID	partname	procName	denergy, eV	positionX, um	positionY, um	positionZ, um
0	1	e-	eIoni	15.8575	0	0	0.496474
0	1	e-	eIoni	17.8308	0.000107223	-6.79751e-06	0.488901
0	1	e-	eIoni	30.5433	0.00255705	-0.00150772	0.455578
0	1	e-	eIoni	23.9619	0.00432459	-0.0019866	0.43577
0	1	e-	eIoni	15.9396	0.0047918	-0.00210119	0.431094
0	1	e-	eIoni	16.0411	0.00508996	-0.00216897	0.427304
0	1	e-	eIoni	13.6538	0.00509604	-0.0021703	0.427216
0	1	e-	msc	0.96994	0.0052254	-0.00224688	0.425284
0	1	e-	msc	2.58914	0.00520099	-0.00273185	0.420134
0	1	e-	msc	14.7052	0.00352949	-0.00540896	0.390941
0	1	e-	eIoni	18.8696	0.0017007	-0.00700457	0.381862
0	1	e-	eIoni	16.9367	0.00063609	-0.00844862	0.376684
0	1	e-	eIoni	14.8581	1.05386e-05	-0.00886897	0.374385
0	1	e-	eIoni	18.8717	-0.00280613	-0.0100956	0.365834
0	1	e-	msc	0.660653	-0.00321179	-0.0102288	0.364644
0	1	e-	eIoni	19.7866	-0.00621926	-0.0115097	0.354443
0	1	e-	eIoni	17.2928	-0.00804022	-0.01231	0.347713
0	1	e-	msc	19.7243	-0.0178953	-0.0172336	0.311931
0	1	e-	msc	0.56962	-0.0182957	-0.0172495	0.310931
0	1	e-	eIoni	15.8475	-0.019869	-0.0174324	0.307009
0	1	e-	msc	4.0405	-0.0226893	-0.0173227	0.299964
0	1	e-	eIoni	18.7932	-0.0268632	-0.0173992	0.291177
0	1	e-	eIoni	15.506	-0.0274788	-0.017514	0.288809
0	1	e-	eIoni	27.5893	-0.0354136	-0.0213199	0.26568
0	1	e-	eIoni	15.4453	-0.0359732	-0.0215235	0.263576
0	1	e-	eIoni	14.2113	-0.0360017	-0.0215382	0.263474
0	1	e-	msc	5.43661	-0.0384887	-0.0228909	0.254525
0	1	e-	eIoni	17.1771	-0.0399111	-0.0228459	0.249575
0	1	e-	eIoni	18.9306	-0.042071	-0.0233153	0.241725
0	1	e-	eIoni	13.9328	-0.0422386	-0.0232977	0.241209
0	1	e-	eIoni	17.1526	-0.0440456	-0.0234633	0.235577
0	1	e-	msc	3.52827	-0.0459345	-0.0235595	0.230022
0	1	e-	msc	6.92816	-0.0503907	-0.0271204	0.22002
0	1	e-	eIoni	18.485	-0.0536168	-0.0259894	0.21269
0	1	e-	eIoni	15.5259	-0.0548612	-0.0255326	0.209816
0	1	e-	eIoni	23.8443	-0.061573	-0.0229101	0.194594
0	1	e-	msc	17.8197	-0.072866	-0.0189625	0.168021
0	1	e-	eIoni	18.1666	-0.0755659	-0.0175846	0.161249
0	1	e-	eIoni	31.3265	-0.0861346	-0.013069	0.135975
0	1	e-	msc	1.47561	-0.0870607	-0.0127393	0.133817
